n_shards,storage_mode,aggregate_tps,avg_tps_per_shard,active_shards,avg_block_time_ms,finality_lag_blocks,finality_lag_ms,execution_rate_avg
2,hdd,1189.8,594.9,2,1318.4,16.86,22224.2,1.0
1,hdd,1122.0,1122.0,1,1061.4,7.71,8187.6,1.0
4,hdd,1409.1,352.3,4,1273.1,36.86,46922.1,1.0
8,hdd,1408.6,176.1,8,2109.5,31.86,67202.1,1.0
16,hdd,1234.7,77.2,16,2436.3,22.71,55337.9,1.0
24,hdd,808.2,33.7,24,6439.5,25.43,163747.8,1.0
1,hdd,1123.1,1123.1,1,1077.5,7.71,8312.5,1.0
1,hdd,1063.9,1063.9,1,1029.7,9.71,10002.7,1.0
1,hdd,1018.9,1018.9,1,1036.9,7.71,7999.1,1.0
1,hdd,1029.3,1029.3,1,1032.7,9.29,9589.5,1.0
1,hdd,1070.4,1070.4,1,1019.3,6.71,6844.0,1.0
2,hdd,1237.9,619.0,2,1368.3,16.71,22870.6,1.0
4,hdd,1271.6,317.9,4,1500.2,21.0,31503.8,1.0
8,hdd,1498.0,187.2,8,2120.3,36.57,77541.5,1.0
16,hdd,1204.0,75.3,16,2284.3,28.0,63960.4,1.0
24,hdd,1009.7,42.1,23,7581.6,24.14,183040.5,1.0
24,hdd,749.3,31.2,24,10126.0,36.0,364536.2,1.0
24,hdd,439.3,18.3,23,1340.2,47.57,63754.7,1.0
8,hdd,132.6,16.6,8,6193.7,8.71,53973.9,1.0
24,hdd,629.8,26.2,24,14690.8,34.14,501585.6,1.0
8,hdd,1323.2,165.4,8,2366.0,29.86,70641.4,1.0
24,hdd,1110.1,46.3,24,2605.4,19.29,50248.0,1.0
4,hdd,131.1,32.8,4,2479.4,9.0,22314.4,1.0
4,hdd,1329.5,332.4,4,1433.5,25.14,36042.6,1.0
